workload,workload_type,workload_size,description,algorithm,frames,page_faults,total_accesses,fault_rate_pct
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,8,1977,2000,98.8500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,16,1946,2000,97.3000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,32,1875,2000,93.7500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,64,1763,2000,88.1500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",LFU,128,1512,2000,75.6000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,2,1991,2000,99.5500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,4,1981,2000,99.0500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,8,1968,2000,98.4000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,16,1932,2000,96.6000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,32,1874,2000,93.7000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,64,1729,2000,86.4500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Clock,128,1486,2000,74.3000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,2,1992,2000,99.6000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,4,1985,2000,99.2500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,8,1963,2000,98.1500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,16,1933,2000,96.6500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,32,1867,2000,93.3500
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,64,1730,2000,86.5000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Random,128,1480,2000,74.0000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,2,1926,2000,96.3000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,4,1834,2000,91.7000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,8,1718,2000,85.9000
random_sm_wide,random,sm,"Acesso aleatorio | Pequeno, universo amplo (2k refs, 500 pags)",Otimo,16,1569,2000,78.4500
