workload,workload_type,workload_size,workload_spread,workload_extra,algorithm,frames,time_ms_op,time_error,gc_alloc_norm_KB_op,gc_alloc_norm_error_KB
fases_medio_enorme_f4,fases,medio,enorme,f4,FIFO,8,0.432,0.013,1116.573,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,FIFO,16,0.422,0.003,1101.995,0.0
fases_medio_enorme_f4,fases,medio,enorme,f4,FIFO,32,0.38,0.004,1070.698,0.0
fases_medio_medio_f4,fases,medio,medio,f4,FIFO,4,0.344,0.003,719.682,0.0
fases_medio_medio_f4,fases,medio,medio,f4,FIFO,8,0.359,0.027,661.901,0.0
fases_medio_medio_f4,fases,medio,medio,f4,FIFO,16,0.286,0.003,546.861,0.0
fases_medio_medio_f4,fases,medio,medio,f4,FIFO,32,0.177,0.015,322.829,0.062
fases_medio_restrito_f2,fases,medio,restrito,f2,FIFO,4,0.263,0.004,455.752,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,FIFO,8,0.241,0.003,366.259,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,FIFO,16,0.164,0.002,196.673,0.0
fases_medio_restrito_f2,fases,medio,restrito,f2,FIFO,32,0.051,0.003,3.313,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,FIFO,4,0.061,0.001,144.125,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,FIFO,8,0.061,0.0,133.118,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,FIFO,16,0.053,0.0,108.258,0.0
fases_pequeno_medio_f4,fases,pequeno,medio,f4,FIFO,32,0.036,0.0,66.11,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,FIFO,4,0.052,0.0,91.75,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,FIFO,8,0.052,0.001,74.25,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,FIFO,16,0.033,0.0,40.375,0.0
fases_pequeno_restrito_f2,fases,pequeno,restrito,f2,FIFO,32,0.011,0.0,3.344,0.0
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,FIFO,4,4.245,0.051,8430.185,0.0
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,FIFO,8,4.433,0.249,8333.921,0.064
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,FIFO,16,4.127,0.033,8143.036,0.0
localidade_grande_amplo_ws40,localidade,grande,amplo,ws40,FIFO,32,4.279,0.311,7762.232,0.064
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,FIFO,4,4.239,0.043,8233.607,0.0
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,FIFO,8,4.822,0.091,8131.392,0.001
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,FIFO,16,4.125,0.038,7932.45,0.0
localidade_grande_enorme_ws10,localidade,grande,enorme,ws10,FIFO,32,4.029,0.031,7526.949,0.0
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,FIFO,4,3.369,0.039,6036.413,0.0
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,FIFO,8,3.676,0.505,5753.142,0.066
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,FIFO,16,3.179,0.04,5245.209,0.0
localidade_grande_medio_frequente70,localidade,grande,medio,frequente70,FIFO,32,3.091,0.402,4333.552,0.065
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,FIFO,4,2.128,0.024,3744.374,0.0
localidade_grande_restrito_frequente90,localidade,grande,restrito,frequente90,FIFO,8,1.863,0.011,2293.567,0.0
